arquitetura,consulta,repeticao,tempo_s
delta,Q5,27,0.2191
delta,Q5,28,0.2212
delta,Q5,29,0.2197
delta,Q5,30,0.2378
iceberg,Q1,1,0.1509
iceberg,Q1,2,0.136
iceberg,Q1,3,0.1292
iceberg,Q1,4,0.1254
iceberg,Q1,5,0.1713
iceberg,Q1,6,0.1381
iceberg,Q1,7,0.1294
iceberg,Q1,8,0.141
iceberg,Q1,9,0.1714
iceberg,Q1,10,0.1343
iceberg,Q1,11,0.1336
iceberg,Q1,12,0.1987
iceberg,Q1,13,0.1251
iceberg,Q1,14,0.1093
iceberg,Q1,15,0.1113
iceberg,Q1,16,0.1404
iceberg,Q1,17,0.1546
iceberg,Q1,18,0.109
iceberg,Q1,19,0.1559
iceberg,Q1,20,0.1263
iceberg,Q1,21,0.1699
iceberg,Q1,22,0.1721
iceberg,Q1,23,0.1419
iceberg,Q1,24,0.1231
iceberg,Q1,25,0.1284
iceberg,Q1,26,0.113
iceberg,Q1,27,0.1459
iceberg,Q1,28,0.116
iceberg,Q1,29,0.1244
iceberg,Q1,30,0.1437
iceberg,Q2,1,0.1667
iceberg,Q2,2,0.1275
iceberg,Q2,3,0.1173
iceberg,Q2,4,0.12
iceberg,Q2,5,0.1716
iceberg,Q2,6,0.1406
iceberg,Q2,7,0.1323
iceberg,Q2,8,0.1062
iceberg,Q2,9,0.1229
iceberg,Q2,10,0.1299
iceberg,Q2,11,0.1044
iceberg,Q2,12,0.1222
iceberg,Q2,13,0.1067
iceberg,Q2,14,0.1081
iceberg,Q2,15,0.1212
iceberg,Q2,16,0.1184
iceberg,Q2,17,0.1089
iceberg,Q2,18,0.1084
iceberg,Q2,19,0.114
iceberg,Q2,20,0.1043
iceberg,Q2,21,0.1132
iceberg,Q2,22,0.1066
iceberg,Q2,23,0.1158
iceberg,Q2,24,0.0976
iceberg,Q2,25,0.0925
iceberg,Q2,26,0.1197
iceberg,Q2,27,0.107
iceberg,Q2,28,0.1307
iceberg,Q2,29,0.1005
iceberg,Q2,30,0.113
iceberg,Q3,1,0.4862
iceberg,Q3,2,0.5143
iceberg,Q3,3,0.5341
iceberg,Q3,4,0.4864
iceberg,Q3,5,0.4837
iceberg,Q3,6,0.4897
iceberg,Q3,7,0.5032
iceberg,Q3,8,0.4986
iceberg,Q3,9,0.5332
iceberg,Q3,10,0.4547
iceberg,Q3,11,0.4705
iceberg,Q3,12,0.4712
iceberg,Q3,13,0.4862
iceberg,Q3,14,0.4579
iceberg,Q3,15,0.563
iceberg,Q3,16,0.4853
iceberg,Q3,17,0.474
iceberg,Q3,18,0.6127
iceberg,Q3,19,0.5625
iceberg,Q3,20,0.4996
iceberg,Q3,21,0.4826
iceberg,Q3,22,0.4854
iceberg,Q3,23,0.4836
iceberg,Q3,24,0.5004
iceberg,Q3,25,0.4677
iceberg,Q3,26,0.4742
iceberg,Q3,27,0.4845
iceberg,Q3,28,0.4666
iceberg,Q3,29,0.4732
iceberg,Q3,30,0.4766
iceberg,Q4,1,0.1724
iceberg,Q4,2,0.1269
iceberg,Q4,3,0.1264
iceberg,Q4,4,0.1556
iceberg,Q4,5,0.1393
iceberg,Q4,6,0.1409
iceberg,Q4,7,0.1549
iceberg,Q4,8,0.1893
iceberg,Q4,9,0.232
iceberg,Q4,10,0.1283
iceberg,Q4,11,0.1409
iceberg,Q4,12,0.1397
iceberg,Q4,13,0.1232
iceberg,Q4,14,0.1322
iceberg,Q4,15,0.1181
iceberg,Q4,16,0.1718
iceberg,Q4,17,0.1821
iceberg,Q4,18,0.2078
iceberg,Q4,19,0.139
iceberg,Q4,20,0.187
iceberg,Q4,21,0.3673
iceberg,Q4,22,0.4026
iceberg,Q4,23,0.3934
iceberg,Q4,24,0.4848
iceberg,Q4,25,0.4732
iceberg,Q4,26,0.3994
iceberg,Q4,27,0.3405
iceberg,Q4,28,0.4066
iceberg,Q4,29,0.3908
iceberg,Q4,30,0.3544
iceberg,Q5,1,0.5118
iceberg,Q5,2,0.4716
iceberg,Q5,3,0.3421
iceberg,Q5,4,0.3257
iceberg,Q5,5,0.3163
iceberg,Q5,6,0.344
iceberg,Q5,7,0.4564
iceberg,Q5,8,0.3284
iceberg,Q5,9,0.419
iceberg,Q5,10,0.3542
iceberg,Q5,11,0.3314
iceberg,Q5,12,0.3571
iceberg,Q5,13,0.4198
iceberg,Q5,14,0.4101
iceberg,Q5,15,0.3215
iceberg,Q5,16,0.4084
iceberg,Q5,17,0.3462
iceberg,Q5,18,0.3203
iceberg,Q5,19,0.7517
iceberg,Q5,20,0.3492
iceberg,Q5,21,0.3307
iceberg,Q5,22,0.4799
iceberg,Q5,23,0.2757
iceberg,Q5,24,0.119
iceberg,Q5,25,0.1412
iceberg,Q5,26,0.1134
iceberg,Q5,27,0.0979
iceberg,Q5,28,0.1217
iceberg,Q5,29,0.1396
iceberg,Q5,30,0.1267
